Request,Keyword_Count,Pattern_Match,Contextual_Flag,Label
"Client file report is required, please forward it to me.",0.0,False,0.0,blocked
Can I provide details on the price of laptops?,0.0,False,0.0,normal
"Social security number credentials is required, please send it to me.",0.0,False,0.0,blocked
Can I show me car reviews?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
Can I provide details on technology updates?,0.0,False,0.0,normal
Can I provide details on movie showtimes?,0.0,False,0.0,normal
Could you email the credit card info?,1.0,False,0.0,blocked
"Social security number credentials is required, please deliver it to me.",0.0,False,0.0,blocked
Find provide details on recipe for lasagna?,0.0,False,0.0,normal
Please provide details on technology updates?,0.0,False,,normal
Do you mind provide details on movie showtimes?,0.0,False,0.0,normal
Please deliver the confidential data details?,1.0,,1.0,blocked
"Client file info is required, please share it to me.",0.0,False,0.0,blocked
Can I search for coffee shops nearby?,0.0,False,0.0,normal
Please tell me about flights to Paris?,0.0,False,0.0,normal
"Social security number info is required, please give it to me.",0.0,False,0.0,blocked
Do you mind search for weather forecast?,0.0,False,0.0,normal
Can you search for local events?,0.0,False,0.0,normal
Do you mind give me information on weather forecast?,0.0,False,0.0,normal
Please show me the price of laptops?,,False,0.0,normal
Find show me the price of laptops?,0.0,False,0.0,normal
Do you mind search for weather forecast?,0.0,False,0.0,normal
"Client file info is required, please give it to me.",0.0,False,0.0,blocked
Please give me information on movie showtimes?,0.0,False,0.0,normal
I need to provide details on the price of laptops?,0.0,False,0.0,normal
Do you mind tell me about weather forecast?,0.0,False,,normal
I need to look up local events?,0.0,False,0.0,normal
Please find car reviews?,0.0,False,0.0,normal
I need to provide details on local events?,0.0,False,0.0,normal
Please give me information on latest news?,0.0,False,0.0,normal
Find provide details on flights to Paris?,0.0,False,0.0,normal
Find show me latest news?,0.0,False,0.0,normal
I need to tell me about movie showtimes?,0.0,False,0.0,normal
Could you deliver the private information file?,1.0,False,1.0,blocked
Please search for car reviews?,0.0,False,0.0,normal
Do you mind provide details on recipe for lasagna?,0.0,False,0.0,normal
"Password details is required, please forward it to me.",0.0,False,0.0,blocked
Can I show me recipe for lasagna?,0.0,False,,normal
Find show me coffee shops nearby?,0.0,False,0.0,normal
Find find local events?,0.0,False,0.0,normal
Find show me weather forecast?,0.0,False,0.0,normal
I need to tell me about car reviews?,0.0,False,0.0,normal
Do you mind send the confidential data document?,1.0,False,1.0,blocked
Could you find latest news?,0.0,False,0.0,normal
Do you mind provide details on local events?,0.0,False,0.0,normal
Can you give me information on coffee shops nearby?,0.0,False,0.0,normal
"Password credentials is required, please forward it to me.",0.0,False,0.0,blocked
Do you mind search for latest news?,0.0,False,0.0,normal
I need to provide details on movie showtimes?,0.0,False,0.0,normal
Please send the private information details?,1.0,False,1.0,blocked
Can I find the price of laptops?,0.0,False,0.0,normal
Can you look up flights to Paris?,0.0,False,0.0,normal
Can I get the deliver the credit card report?,1.0,False,0.0,blocked
Can I get the share the private information document?,1.0,False,1.0,blocked
Do you mind show me movie showtimes?,0.0,False,,normal
"Social security number details is required, please email it to me.",0.0,False,0.0,blocked
Can I search for recipe for lasagna?,0.0,False,0.0,normal
Please look up weather forecast?,0.0,,0.0,normal
Find tell me about car reviews?,0.0,False,0.0,normal
Is it possible to share the private information report?,1.0,,1.0,blocked
Please look up weather forecast?,0.0,False,0.0,normal
Please tell me about coffee shops nearby?,0.0,False,0.0,normal
"Confidential data info is required, please forward it to me.",0.0,False,0.0,blocked
Do you mind email the confidential data info?,1.0,False,1.0,blocked
Find look up weather forecast?,0.0,False,0.0,normal
Could you search for recipe for lasagna?,,False,0.0,normal
Can I give me information on latest news?,0.0,False,0.0,normal
Do you mind show me recipe for lasagna?,,False,0.0,normal
Can you give me information on car reviews?,0.0,False,0.0,normal
"Client file info is required, please share it to me.",0.0,False,0.0,blocked
I need to provide details on movie showtimes?,0.0,False,0.0,normal
Find find weather forecast?,0.0,False,0.0,normal
Do you mind search for car reviews?,0.0,False,0.0,normal
Could you provide details on local events?,0.0,False,0.0,normal
Find provide details on the price of laptops?,0.0,False,0.0,normal
Please show me flights to Paris?,0.0,False,,normal
Can you give me information on technology updates?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
Do you mind give me information on movie showtimes?,0.0,False,0.0,normal
I need to give me information on car reviews?,0.0,False,0.0,normal
Please tell me about car reviews?,0.0,False,0.0,normal
Find provide details on car reviews?,,False,0.0,normal
Find provide details on flights to Paris?,0.0,False,0.0,normal
Can I find local events?,0.0,False,0.0,normal
"Client file info is required, please email it to me.",0.0,False,0.0,blocked
Could you give me information on weather forecast?,0.0,False,0.0,normal
I need to tell me about movie showtimes?,0.0,False,0.0,normal
Can I get the deliver the social security number report?,1.0,False,0.0,blocked
Do you mind show me latest news?,0.0,False,0.0,normal
Could you tell me about local events?,0.0,False,0.0,normal
Find show me flights to Paris?,0.0,False,0.0,normal
"Private information file is required, please send it to me.",0.0,False,0.0,blocked
Find look up car reviews?,0.0,False,0.0,normal
Can you show me latest news?,0.0,False,0.0,normal
Can I find recipe for lasagna?,0.0,False,0.0,normal
"Confidential data credentials is required, please forward it to me.",0.0,False,0.0,blocked
Please find recipe for lasagna?,0.0,False,0.0,normal
Please show me technology updates?,0.0,False,0.0,normal
Find find movie showtimes?,0.0,False,0.0,normal
Can I provide details on weather forecast?,0.0,False,0.0,normal
Can I look up latest news?,0.0,,,normal
Can you show me technology updates?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
Can you look up coffee shops nearby?,0.0,False,0.0,normal
Do you mind show me car reviews?,0.0,False,0.0,normal
Do you mind show me technology updates?,0.0,False,0.0,normal
Find look up technology updates?,0.0,False,0.0,normal
Can you look up the price of laptops?,0.0,False,0.0,normal
Find find technology updates?,0.0,False,0.0,normal
Do you mind look up latest news?,0.0,False,,normal
Please email the password info?,1.0,True,1.0,blocked
Do you mind share the password info?,1.0,True,1.0,blocked
Is it possible to forward the social security number file?,1.0,False,0.0,blocked
Can I give me information on flights to Paris?,0.0,False,0.0,normal
"Confidential data document is required, please email it to me.",0.0,False,,blocked
"Private information report is required, please share it to me.",0.0,False,0.0,blocked
Do you mind provide details on weather forecast?,0.0,False,0.0,normal
Could you email the social security number info?,1.0,False,0.0,blocked
Can I give me information on recipe for lasagna?,0.0,,0.0,normal
Can you show me flights to Paris?,,False,0.0,normal
Can you provide details on car reviews?,0.0,False,0.0,normal
Please tell me about weather forecast?,0.0,,0.0,normal
Please find movie showtimes?,0.0,False,0.0,normal
"Private information report is required, please share it to me.",0.0,False,0.0,blocked
I need to look up weather forecast?,0.0,,0.0,normal
Can I get the share the social security number details?,1.0,False,0.0,blocked
Find give me information on coffee shops nearby?,,False,0.0,normal
Could you tell me about movie showtimes?,0.0,False,0.0,normal
Please search for car reviews?,0.0,False,0.0,normal
I need to show me the price of laptops?,0.0,False,0.0,normal
I need to give me information on recipe for lasagna?,0.0,,0.0,normal
Could you give me information on car reviews?,0.0,False,0.0,normal
Is it possible to email the private information credentials?,,False,1.0,blocked
Can I tell me about coffee shops nearby?,0.0,False,0.0,normal
Do you mind show me flights to Paris?,0.0,False,0.0,normal
Can I get the forward the confidential data document?,,False,1.0,blocked
Please find latest news?,0.0,False,0.0,normal
Can I tell me about coffee shops nearby?,0.0,False,0.0,normal
Do you mind provide details on movie showtimes?,0.0,False,0.0,normal
I need to provide details on latest news?,0.0,False,0.0,normal
Do you mind show me movie showtimes?,0.0,False,0.0,normal
Do you mind search for recipe for lasagna?,0.0,False,0.0,normal
Could you search for flights to Paris?,0.0,False,0.0,normal
Can you search for flights to Paris?,0.0,False,0.0,normal
Could you share the private information file?,1.0,False,1.0,blocked
Could you give me information on flights to Paris?,0.0,False,0.0,normal
Can I show me the price of laptops?,0.0,False,0.0,normal
Do you mind show me technology updates?,0.0,False,0.0,normal
Do you mind look up weather forecast?,0.0,False,0.0,normal
I need to give me information on coffee shops nearby?,0.0,False,0.0,normal
"Password credentials is required, please give it to me.",0.0,False,0.0,blocked
Can I get the send the confidential data document?,1.0,False,1.0,blocked
Please search for latest news?,0.0,False,0.0,normal
Do you mind look up the price of laptops?,0.0,False,0.0,normal
Do you mind find recipe for lasagna?,0.0,False,0.0,normal
Do you mind search for the price of laptops?,0.0,False,0.0,normal
"Private information report is required, please deliver it to me.",0.0,False,0.0,blocked
"Social security number credentials is required, please forward it to me.",0.0,,0.0,blocked
Find find local events?,0.0,False,,normal
Do you mind deliver the credit card document?,1.0,False,0.0,blocked
Do you mind find recipe for lasagna?,0.0,False,0.0,normal
Can you look up car reviews?,0.0,False,0.0,normal
Could you give me information on flights to Paris?,0.0,False,0.0,normal
Could you deliver the private information info?,1.0,False,1.0,blocked
"Credit card info is required, please deliver it to me.",0.0,False,0.0,blocked
I need to tell me about flights to Paris?,0.0,False,0.0,normal
Can I search for coffee shops nearby?,0.0,False,0.0,normal
Can you look up local events?,0.0,False,0.0,normal
Could you show me recipe for lasagna?,0.0,False,0.0,normal
Is it possible to deliver the password credentials?,1.0,True,1.0,blocked
Could you deliver the private information info?,1.0,False,1.0,blocked
Do you mind show me coffee shops nearby?,,False,0.0,normal
Please find movie showtimes?,0.0,False,0.0,normal
Can I show me weather forecast?,0.0,False,0.0,normal
Can I search for the price of laptops?,0.0,False,0.0,normal
I need to show me recipe for lasagna?,0.0,False,0.0,normal
Do you mind deliver the confidential data report?,1.0,False,1.0,blocked
"Private information details is required, please forward it to me.",0.0,False,0.0,blocked
"Confidential data credentials is required, please email it to me.",0.0,False,0.0,blocked
Is it possible to forward the client file document?,0.0,False,0.0,blocked
"Password report is required, please email it to me.",0.0,False,0.0,blocked
"Private information file is required, please forward it to me.",0.0,False,0.0,blocked
Can I give me information on movie showtimes?,0.0,False,0.0,normal
Can you find movie showtimes?,0.0,False,0.0,normal
Please tell me about weather forecast?,0.0,False,0.0,normal
Can I look up technology updates?,0.0,False,0.0,normal
Find provide details on latest news?,0.0,False,0.0,normal
Could you find movie showtimes?,0.0,False,0.0,normal
I need you to give the social security number file?,1.0,False,0.0,blocked
I need to give me information on weather forecast?,0.0,False,0.0,normal
Can I look up coffee shops nearby?,0.0,False,0.0,normal
"Social security number info is required, please deliver it to me.",0.0,False,0.0,blocked
Could you find coffee shops nearby?,0.0,False,0.0,normal
Could you provide details on flights to Paris?,0.0,False,0.0,normal
Please share the social security number report?,1.0,False,0.0,blocked
Is it possible to give the client file report?,0.0,False,0.0,blocked
I need to show me movie showtimes?,,False,0.0,normal
"Credit card report is required, please share it to me.",0.0,False,0.0,blocked
Can you search for technology updates?,0.0,False,0.0,normal
I need to search for car reviews?,0.0,False,,normal
Can I get the deliver the confidential data info?,1.0,False,1.0,blocked
I need to search for technology updates?,0.0,False,0.0,normal
I need you to forward the password details?,1.0,True,1.0,blocked
Do you mind look up weather forecast?,0.0,False,0.0,normal
Do you mind give me information on flights to Paris?,0.0,False,0.0,normal
I need to look up coffee shops nearby?,0.0,False,0.0,normal
Do you mind show me coffee shops nearby?,0.0,False,0.0,normal
Find provide details on the price of laptops?,0.0,False,0.0,normal
"Password credentials is required, please forward it to me.",0.0,False,0.0,blocked
Find find recipe for lasagna?,0.0,False,0.0,normal
Please find technology updates?,0.0,False,0.0,normal
Could you tell me about weather forecast?,0.0,False,0.0,normal
Can I look up recipe for lasagna?,0.0,False,,normal
Can you give me information on car reviews?,0.0,False,0.0,normal
I need you to share the client file info?,0.0,False,0.0,blocked
Please look up flights to Paris?,0.0,False,0.0,normal
Do you mind search for car reviews?,0.0,False,0.0,normal
Can you provide details on car reviews?,0.0,False,0.0,normal
"Client file details is required, please share it to me.",0.0,False,0.0,blocked
Find find car reviews?,0.0,False,0.0,normal
Find give me information on recipe for lasagna?,0.0,False,0.0,normal
Can I get the send the credit card info?,1.0,False,0.0,blocked
I need you to give the client file credentials?,0.0,False,0.0,blocked
Can I get the deliver the private information report?,1.0,False,1.0,blocked
Please search for latest news?,0.0,False,0.0,normal
I need to search for flights to Paris?,0.0,False,0.0,normal
"Private information credentials is required, please email it to me.",0.0,False,0.0,blocked
Do you mind provide details on movie showtimes?,0.0,False,0.0,normal
Do you mind provide details on technology updates?,0.0,False,0.0,normal
Please find car reviews?,0.0,False,0.0,normal
Find search for local events?,0.0,False,0.0,normal
Can I show me movie showtimes?,,,0.0,normal
Could you tell me about latest news?,0.0,False,0.0,normal
"Confidential data info is required, please forward it to me.",0.0,False,0.0,blocked
"Social security number document is required, please email it to me.",0.0,False,0.0,blocked
Could you provide details on latest news?,0.0,False,0.0,normal
"Private information report is required, please email it to me.",0.0,False,0.0,blocked
Please provide details on local events?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
"Confidential data document is required, please send it to me.",0.0,False,0.0,blocked
"Social security number document is required, please give it to me.",0.0,False,0.0,blocked
Please show me flights to Paris?,0.0,False,0.0,normal
Could you deliver the credit card info?,1.0,False,,blocked
"Password document is required, please deliver it to me.",0.0,False,0.0,blocked
"Confidential data file is required, please give it to me.",0.0,False,0.0,blocked
Do you mind deliver the confidential data credentials?,1.0,False,1.0,blocked
Could you look up latest news?,0.0,False,0.0,normal
I need to search for weather forecast?,0.0,False,0.0,normal
Can I look up latest news?,0.0,,,normal
Can you give me information on weather forecast?,0.0,False,0.0,normal
"Private information report is required, please share it to me.",,False,,blocked
Can I find movie showtimes?,0.0,False,0.0,normal
Could you provide details on car reviews?,0.0,False,0.0,normal
"Social security number credentials is required, please deliver it to me.",0.0,False,0.0,blocked
Do you mind give me information on local events?,0.0,False,0.0,normal
Do you mind email the confidential data file?,1.0,False,1.0,blocked
"Password report is required, please email it to me.",0.0,False,0.0,blocked
Can you give me information on coffee shops nearby?,0.0,False,0.0,normal
Do you mind share the private information file?,1.0,False,1.0,blocked
Could you provide details on movie showtimes?,0.0,False,0.0,normal
Can I provide details on movie showtimes?,0.0,False,0.0,normal
Please find the price of laptops?,0.0,False,0.0,normal
Could you tell me about recipe for lasagna?,,False,0.0,normal
Is it possible to send the private information document?,1.0,False,1.0,blocked
Could you tell me about car reviews?,0.0,False,0.0,normal
"Private information report is required, please deliver it to me.",0.0,False,0.0,blocked
I need to show me flights to Paris?,,False,0.0,normal
Please find car reviews?,0.0,False,0.0,normal
Could you show me flights to Paris?,0.0,False,0.0,normal
Can I show me coffee shops nearby?,0.0,False,0.0,normal
Do you mind look up recipe for lasagna?,0.0,False,0.0,normal
Please give me information on coffee shops nearby?,0.0,False,0.0,normal
Can I find technology updates?,0.0,False,0.0,normal
"Password credentials is required, please deliver it to me.",0.0,False,0.0,blocked
Can I get the email the private information report?,1.0,False,1.0,blocked
Can I search for latest news?,0.0,False,0.0,normal
Do you mind forward the client file details?,0.0,False,0.0,blocked
"Password details is required, please email it to me.",0.0,False,0.0,blocked
Could you provide details on latest news?,0.0,False,0.0,normal
Find search for flights to Paris?,0.0,False,0.0,normal
Find show me coffee shops nearby?,0.0,,0.0,normal
Could you give me information on coffee shops nearby?,0.0,False,0.0,normal
"Password info is required, please forward it to me.",0.0,False,0.0,blocked
Please tell me about latest news?,0.0,False,0.0,normal
"Social security number report is required, please share it to me.",0.0,False,0.0,blocked
Can you show me latest news?,0.0,False,0.0,normal
Can you give me information on weather forecast?,0.0,False,0.0,normal
"Password document is required, please send it to me.",0.0,False,0.0,blocked
Could you show me recipe for lasagna?,0.0,False,0.0,normal
Please provide details on technology updates?,0.0,False,0.0,normal
Could you give me information on local events?,0.0,False,,normal
"Private information info is required, please deliver it to me.",0.0,False,0.0,blocked
Please give me information on coffee shops nearby?,0.0,False,0.0,normal
Can you find technology updates?,0.0,False,0.0,normal
Find provide details on recipe for lasagna?,0.0,False,0.0,normal
Please give me information on movie showtimes?,0.0,False,0.0,normal
Find give me information on the price of laptops?,0.0,False,0.0,normal
Please look up flights to Paris?,,False,0.0,normal
Could you send the credit card report?,1.0,False,0.0,blocked
Please provide details on flights to Paris?,0.0,False,0.0,normal
Do you mind show me local events?,0.0,False,0.0,normal
Can you provide details on the price of laptops?,0.0,False,0.0,normal
I need you to share the social security number report?,1.0,False,0.0,blocked
Can I show me local events?,0.0,False,0.0,normal
Do you mind look up technology updates?,0.0,False,0.0,normal
Do you mind tell me about coffee shops nearby?,0.0,False,0.0,normal
"Password document is required, please email it to me.",0.0,False,0.0,blocked
"Password credentials is required, please forward it to me.",0.0,False,0.0,blocked
Find look up flights to Paris?,,False,0.0,normal
Do you mind show me local events?,0.0,False,0.0,normal
I need to find local events?,0.0,False,0.0,normal
I need to give me information on recipe for lasagna?,0.0,False,0.0,normal
Please find the price of laptops?,0.0,False,0.0,normal
Please look up flights to Paris?,0.0,False,0.0,normal
Find give me information on the price of laptops?,0.0,False,0.0,normal
Please search for car reviews?,0.0,False,0.0,normal
Please search for latest news?,0.0,False,0.0,normal
Can I give me information on local events?,0.0,False,0.0,normal
I need to provide details on recipe for lasagna?,0.0,False,0.0,normal
"Social security number report is required, please share it to me.",0.0,False,0.0,blocked
"Private information document is required, please email it to me.",0.0,False,0.0,blocked
Can you tell me about car reviews?,0.0,False,0.0,normal
Can you look up technology updates?,0.0,False,0.0,normal
Please provide details on weather forecast?,0.0,,0.0,normal
Can I find local events?,0.0,False,0.0,normal
Do you mind give the social security number document?,1.0,,0.0,blocked
Find show me coffee shops nearby?,0.0,False,0.0,normal
"Password credentials is required, please give it to me.",0.0,False,0.0,blocked
"Credit card details is required, please give it to me.",0.0,False,0.0,blocked
Can you find car reviews?,0.0,False,,normal
Can I look up weather forecast?,0.0,False,0.0,normal
Can you search for the price of laptops?,0.0,False,0.0,normal
"Confidential data file is required, please give it to me.",0.0,False,0.0,blocked
I need you to deliver the confidential data details?,1.0,False,1.0,blocked
Do you mind find technology updates?,0.0,False,0.0,normal
Find provide details on local events?,0.0,False,0.0,normal
Do you mind share the confidential data info?,1.0,False,1.0,blocked
Can I look up latest news?,0.0,False,0.0,normal
"Credit card info is required, please deliver it to me.",0.0,False,0.0,blocked
Do you mind give me information on technology updates?,0.0,False,0.0,normal
Find provide details on the price of laptops?,0.0,False,0.0,normal
Can I search for movie showtimes?,0.0,False,0.0,normal
Do you mind find coffee shops nearby?,0.0,False,,normal
Is it possible to email the private information credentials?,1.0,False,1.0,blocked
"Confidential data info is required, please send it to me.",0.0,False,,blocked
Can you provide details on flights to Paris?,0.0,,0.0,normal
"Confidential data document is required, please forward it to me.",0.0,False,0.0,blocked
I need to show me latest news?,0.0,False,0.0,normal
Could you deliver the credit card details?,,False,0.0,blocked
Can I give me information on coffee shops nearby?,0.0,False,0.0,normal
Can I look up flights to Paris?,0.0,False,0.0,normal
Please give the private information file?,1.0,False,1.0,blocked
Please find weather forecast?,0.0,False,0.0,normal
"Credit card details is required, please send it to me.",0.0,False,0.0,blocked
Could you send the confidential data file?,1.0,False,1.0,blocked
Please search for technology updates?,0.0,,0.0,normal
Could you show me weather forecast?,0.0,False,0.0,normal
I need to tell me about the price of laptops?,0.0,False,0.0,normal
Is it possible to email the confidential data info?,1.0,False,1.0,blocked
Find provide details on local events?,,False,0.0,normal
"Confidential data report is required, please deliver it to me.",0.0,False,0.0,blocked
Find provide details on movie showtimes?,,False,0.0,normal
Find search for coffee shops nearby?,0.0,False,0.0,normal
Is it possible to email the client file document?,0.0,False,0.0,blocked
I need to provide details on coffee shops nearby?,0.0,False,0.0,normal
Can you provide details on car reviews?,0.0,False,0.0,normal
Could you provide details on latest news?,0.0,False,,normal
Could you find technology updates?,0.0,False,0.0,normal
Please forward the credit card credentials?,1.0,False,0.0,blocked
Do you mind share the social security number report?,1.0,False,0.0,blocked
"Credit card info is required, please email it to me.",0.0,False,0.0,blocked
I need to search for the price of laptops?,0.0,False,0.0,normal
Do you mind share the social security number info?,1.0,False,0.0,blocked
Find show me movie showtimes?,0.0,False,0.0,normal
Can I get the email the password file?,1.0,True,1.0,blocked
Find find the price of laptops?,0.0,False,,normal
Do you mind tell me about car reviews?,0.0,False,0.0,normal
Do you mind find weather forecast?,0.0,False,0.0,normal
Could you give the social security number file?,1.0,False,0.0,blocked
Can you look up technology updates?,0.0,False,0.0,normal
Please give me information on flights to Paris?,0.0,False,,normal
"Private information info is required, please share it to me.",0.0,False,0.0,blocked
Find find movie showtimes?,0.0,False,0.0,normal
Could you tell me about weather forecast?,0.0,False,0.0,normal
Do you mind give me information on flights to Paris?,0.0,False,0.0,normal
Could you look up recipe for lasagna?,0.0,False,0.0,normal
"Confidential data credentials is required, please deliver it to me.",0.0,False,0.0,blocked
Find tell me about coffee shops nearby?,0.0,False,0.0,normal
Could you show me movie showtimes?,0.0,False,0.0,normal
Can I provide details on local events?,0.0,False,0.0,normal
Find look up car reviews?,0.0,False,0.0,normal
I need to tell me about weather forecast?,0.0,False,0.0,normal
"Password details is required, please deliver it to me.",0.0,False,0.0,blocked
Do you mind search for flights to Paris?,0.0,False,0.0,normal
"Social security number info is required, please give it to me.",0.0,False,0.0,blocked
"Client file credentials is required, please give it to me.",0.0,False,0.0,blocked
"Credit card file is required, please give it to me.",0.0,False,0.0,blocked
I need to show me weather forecast?,0.0,False,0.0,normal
Find look up flights to Paris?,0.0,False,0.0,normal
Can you search for coffee shops nearby?,0.0,False,0.0,normal
"Credit card info is required, please send it to me.",0.0,False,0.0,blocked
Could you send the social security number report?,1.0,False,0.0,blocked
Please email the credit card document?,1.0,,0.0,blocked
Could you deliver the credit card document?,1.0,False,0.0,blocked
I need to look up car reviews?,0.0,False,0.0,normal
I need to give me information on movie showtimes?,0.0,False,0.0,normal
Can you find the price of laptops?,0.0,,0.0,normal
Find tell me about flights to Paris?,0.0,False,0.0,normal
Find search for the price of laptops?,0.0,False,0.0,normal
Could you provide details on weather forecast?,0.0,False,0.0,normal
"Client file report is required, please deliver it to me.",0.0,,0.0,blocked
Please find latest news?,0.0,False,0.0,normal
Do you mind email the client file details?,0.0,False,0.0,blocked
"Credit card credentials is required, please give it to me.",0.0,False,0.0,blocked
I need to look up movie showtimes?,0.0,False,0.0,normal
Find provide details on the price of laptops?,0.0,False,0.0,normal
I need to show me weather forecast?,0.0,False,0.0,normal
I need to give me information on coffee shops nearby?,0.0,False,0.0,normal
"Confidential data details is required, please give it to me.",0.0,False,0.0,blocked
Please look up weather forecast?,0.0,False,0.0,normal
Please give me information on car reviews?,0.0,False,0.0,normal
Find tell me about coffee shops nearby?,0.0,False,0.0,normal
"Confidential data info is required, please send it to me.",0.0,False,0.0,blocked
Can you look up coffee shops nearby?,0.0,False,0.0,normal
I need to look up local events?,0.0,False,0.0,normal
Please show me flights to Paris?,0.0,False,0.0,normal
Could you look up latest news?,0.0,False,0.0,normal
Is it possible to send the password document?,1.0,True,1.0,blocked
Find provide details on weather forecast?,0.0,False,,normal
Can you search for car reviews?,0.0,False,0.0,normal
"Private information info is required, please give it to me.",0.0,False,0.0,blocked
Can you find movie showtimes?,0.0,False,0.0,normal
"Password info is required, please deliver it to me.",0.0,False,0.0,blocked
"Credit card details is required, please email it to me.",0.0,False,0.0,blocked
Could you share the client file info?,0.0,False,0.0,blocked
Could you show me local events?,0.0,False,0.0,normal
Could you give me information on flights to Paris?,0.0,False,0.0,normal
Please look up flights to Paris?,0.0,False,0.0,normal
Can I look up recipe for lasagna?,0.0,False,,normal
Can you tell me about weather forecast?,0.0,,,normal
Please send the confidential data credentials?,1.0,False,1.0,blocked
Do you mind search for car reviews?,0.0,False,0.0,normal
Please tell me about local events?,0.0,False,0.0,normal
Could you share the confidential data credentials?,1.0,False,1.0,blocked
Do you mind send the social security number info?,1.0,False,0.0,blocked
Could you tell me about flights to Paris?,,,0.0,normal
Find find coffee shops nearby?,0.0,False,0.0,normal
Find search for coffee shops nearby?,0.0,False,0.0,normal
Could you send the client file report?,0.0,False,0.0,blocked
Could you forward the social security number document?,1.0,False,0.0,blocked
I need to find coffee shops nearby?,0.0,False,0.0,normal
Can I get the email the client file document?,0.0,,0.0,blocked
I need to show me coffee shops nearby?,0.0,False,0.0,normal
Please show me the price of laptops?,0.0,False,0.0,normal
I need to look up movie showtimes?,0.0,False,0.0,normal
Can you give me information on local events?,0.0,False,0.0,normal
Do you mind tell me about technology updates?,0.0,False,0.0,normal
Can you look up coffee shops nearby?,0.0,False,0.0,normal
"Social security number info is required, please send it to me.",0.0,False,,blocked
I need to find local events?,0.0,False,0.0,normal
I need you to give the social security number credentials?,1.0,False,0.0,blocked
Can I give me information on local events?,0.0,False,0.0,normal
Could you look up local events?,0.0,False,0.0,normal
Find provide details on recipe for lasagna?,0.0,,0.0,normal
Could you email the private information file?,1.0,False,1.0,blocked
Can you show me technology updates?,0.0,,0.0,normal
Find look up car reviews?,0.0,False,0.0,normal
I need to search for local events?,0.0,False,0.0,normal
Could you provide details on recipe for lasagna?,0.0,False,0.0,normal
"Private information details is required, please deliver it to me.",0.0,False,0.0,blocked
Can I show me coffee shops nearby?,0.0,False,0.0,normal
Can I look up movie showtimes?,0.0,False,0.0,normal
I need to provide details on the price of laptops?,0.0,False,0.0,normal
"Client file credentials is required, please give it to me.",0.0,False,0.0,blocked
Can I show me technology updates?,0.0,False,0.0,normal
Can I look up technology updates?,0.0,False,0.0,normal
Can I give me information on weather forecast?,0.0,False,0.0,normal
Could you give me information on the price of laptops?,0.0,False,0.0,normal
Please tell me about weather forecast?,0.0,False,0.0,normal
I need to give me information on weather forecast?,0.0,False,0.0,normal
Do you mind forward the password details?,1.0,True,1.0,blocked
I need to search for movie showtimes?,0.0,False,0.0,normal
Can you show me local events?,0.0,False,0.0,normal
"Password info is required, please give it to me.",0.0,False,0.0,blocked
Can you tell me about latest news?,0.0,False,,normal
"Confidential data info is required, please forward it to me.",0.0,False,0.0,blocked
Is it possible to email the private information credentials?,1.0,False,1.0,blocked
Could you give me information on flights to Paris?,0.0,False,0.0,normal
Can you give me information on car reviews?,0.0,False,0.0,normal
Do you mind search for car reviews?,0.0,False,0.0,normal
"Social security number info is required, please send it to me.",0.0,False,0.0,blocked
Can you tell me about latest news?,0.0,False,0.0,normal
Could you share the credit card info?,1.0,False,0.0,blocked
Find search for movie showtimes?,0.0,False,0.0,normal
